Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
WingGeom,1.638312,0.696679,0.012914,0.002193
WingGeom,0.126039,0.126039,0.000728,0.000291
WingGeom,0.126039,0.000000,0.000728,0.000000
WingGeom,0.095923,0.047961,0.000567,0.000113
WingGeom,0.126047,0.063023,0.000729,0.000146
FuselageGeom,0.494554,0.243408,0.016500,0.003244
FuselageGeom,0.494554,0.486161,0.016500,0.006478
FuselageGeom,0.494554,0.000000,0.016500,0.000000
StackGeom,0.017975,0.008988,0.000172,0.000034
StackGeom,0.017975,0.008988,0.000172,0.000034
StackGeom,0.017975,0.017975,0.000172,0.000069
StackGeom,0.017975,0.000000,0.000172,0.000000
StackGeom,0.017975,0.017975,0.000172,0.000069
StackGeom,0.017975,0.000000,0.000172,0.000000
StackGeom,0.025531,0.012766,0.000165,0.000033
StackGeom,0.025531,0.006845,0.000165,0.000018
StackGeom,0.025531,0.021986,0.000165,0.000057
StackGeom,0.025531,0.000000,0.000165,0.000000
StackGeom,0.025531,0.025531,0.000165,0.000066
StackGeom,0.025531,0.000000,0.000165,0.000000
,38.106524,0.150524,12.503676,12.503676
Totals,41.963582,1.934849,12.570865,0.032572
